郵遞區號,行政區,用電種類,用戶數,契約容量,售電度數(當月),,
106,大安區,21臨時電力　　　　　　　,20 ,"1,736 ","336,914 ",,
106,大安區,22臨時用電小計　　　　　,**,"1,736 ","348,418 ",,
106,大安區,23總計（含臨時用電）　　,**,"378,366 ","174,788,481 ",,
106,大安區,24表燈合計　　　　　　　,**,"37,756 ","66,483,123 ",,
106,大安區,25綜合＆電力合計　　　　,**,"340,610 ","108,305,358 ",,
108,萬華區,1表燈非營業用　　　　,"76,495 ",862 ,"23,464,143 ",,
108,萬華區,2表燈營業用　　　　　　,"9,178 ","13,019 ","10,407,061 ",,
108,萬華區,3表燈小計　　　　　　　,**,"13,881 ","33,871,204 ",,
108,萬華區,4低壓綜合裝置非營業用　,＊,0 ,0 ,,
108,萬華區,5低壓綜合需量非營業用　,328 ,"11,306 ","1,600,372 ",,
108,萬華區,6低壓綜合非營業用電小計,**,"11,306 ","1,600,372 ",,
108,萬華區,7低壓綜合裝置營業用　　,36 ,"1,646 ","273,042 ",,
108,萬華區,8低壓綜合需量營業用　　,711 ,"24,196 ","5,896,459 ",,
108,萬華區,9低壓綜合營業用電小計　,**,"25,842 ","6,169,501 ",,
108,萬華區,10低壓綜合用電小計　　　,**,"37,148 ","7,769,873 ",,
108,萬華區,11低壓裝置電力　　　　　,309 ,"3,220 ","359,336 ",,
108,萬華區,12低壓需量電力　　　　　,40 ,"1,331 ","180,455 ",,
108,萬華區,13低壓電力小計　　　　　,**,"4,551 ","539,791 ",,
108,萬華區,14高壓電力　　　　　　　,109 ,"45,395 ","16,094,889 ",,
108,萬華區,15特高壓電力　　　　　　,＊,0 ,0 ,,
108,萬華區,16高＆特高壓電力小計　　,**,"45,395 ","16,094,889 ",,
108,萬華區,17電力小計　　　　　　　,**,"49,946 ","16,634,680 ",,
108,萬華區,18綜合＆電力小計　　　　,**,"87,094 ","24,404,553 ",,
108,萬華區,19電燈＆綜合＆電力小計　,**,"100,975 ","58,275,757 ",,
108,萬華區,20臨時電燈　　　　　　　,16 ,0 ,"18,865 ",,
108,萬華區,21臨時電力　　　　　　　,17 ,980 ,"138,840 ",,
108,萬華區,22臨時用電小計　　　　　,**,980 ,"157,705 ",,
108,萬華區,23總計（含臨時用電）　　,**,"100,975 ","58,433,462 ",,
108,萬華區,24表燈合計　　　　　　　,**,"13,881 ","33,890,069 ",,
108,萬華區,25綜合＆電力合計　　　　,**,"87,094 ","24,543,393 ",,
110,信義區,1表燈非營業用　　　　,"84,047 ",720 ,"21,380,637 ",,
110,信義區,2表燈營業用　　　　　　,"10,247 ","11,867 ","11,156,393 ",,
110,信義區,3表燈小計　　　　　　　,**,"12,587 ","32,537,030 ",,
110,信義區,4低壓綜合裝置非營業用　,＊,138 ,"4,360 ",,
110,信義區,5低壓綜合需量非營業用　,549 ,"25,783 ","4,583,189 ",,
110,信義區,6低壓綜合非營業用電小計,**,"25,921 ","4,587,549 ",,
110,信義區,7低壓綜合裝置營業用　　,＊,28 ,"11,462 ",,
110,信義區,8低壓綜合需量營業用　　,550 ,"25,046 ","6,529,221 ",,
110,信義區,9低壓綜合營業用電小計　,**,"25,074 ","6,540,683 ",,
110,信義區,10低壓綜合用電小計　　　,**,"50,995 ","11,128,232 ",,
110,信義區,11低壓裝置電力　　　　　,24 ,241 ,"39,383 ",,
110,信義區,12低壓需量電力　　　　　,＊,630 ,"148,800 ",,
110,信義區,13低壓電力小計　　　　　,**,871 ,"188,183 ",,
110,信義區,14高壓電力　　　　　　　,144 ,"208,517 ","72,611,206 ",,
110,信義區,15特高壓電力　　　　　　,＊,"6,900 ","3,526,400 ",,
110,信義區,16高＆特高壓電力小計　　,**,"215,417 ","76,137,606 ",,
110,信義區,17電力小計　　　　　　　,**,"216,288 ","76,325,789 ",,
110,信義區,18綜合＆電力小計　　　　,**,"267,283 ","87,454,021 ",,
110,信義區,19電燈＆綜合＆電力小計　,**,"279,870 ","119,991,051 ",,
110,信義區,20臨時電燈　　　　　　　,10 ,0 ,"14,916 ",,
110,信義區,21臨時電力　　　　　　　,25 ,"2,560 ","450,139 ",,
110,信義區,22臨時用電小計　　　　　,**,"2,560 ","465,055 ",,
110,信義區,23總計（含臨時用電）　　,**,"279,870 ","120,456,106 ",,
110,信義區,24表燈合計　　　　　　　,**,"12,587 ","32,551,946 ",,
110,信義區,25綜合＆電力合計　　　　,**,"267,283 ","87,904,160 ",,
111,士林區,1表燈非營業用　　　　,"106,117 ","1,589 ","37,318,657 ",,
111,士林區,2表燈營業用　　　　　　,"9,654 ","15,622 ","12,024,858 ",,
111,士林區,3表燈小計　　　　　　　,**,"17,211 ","49,343,515 ",,
111,士林區,4低壓綜合裝置非營業用　,＊,0 ,0 ,,
