郵遞區號,行政區,用電種類,用戶數,契約容量,售電度數(當月),,,
110,信義區,18綜合＆電力小計,**,"263,936","83,116,133 ",,,
110,信義區,19電燈＆綜合＆電力小計,**,"277,395","137,693,003 ",,,
110,信義區,20臨時電燈,10,0,763 ,,,
110,信義區,21臨時電力,23,"3,044","436,946 ",,,
110,信義區,22臨時用電小計,**,"3,044","437,709 ",,,
110,信義區,23總計（含臨時用電）,**,"277,395","138,130,712 ",,,
110,信義區,24表燈合計,**,"13,459","54,577,633 ",,,
110,信義區,25綜合＆電力合計,**,"263,936","83,553,079 ",,,
111,士林區,1表燈非營業用,"106,761","1,945","40,091,841 ",,,
111,士林區,2表燈營業用,"9,645","17,370","17,174,279 ",,,
111,士林區,3表燈小計,**,"19,315","57,266,120 ",,,
111,士林區,4低壓綜合裝置非營業用,＊,0,0 ,,,
111,士林區,5低壓綜合需量非營業用,641,"23,737","3,682,076 ",,,
111,士林區,6低壓綜合非營業用電小計,**,"23,737","3,682,076 ",,,
111,士林區,7低壓綜合裝置營業用,＊,47,"6,215 ",,,
111,士林區,8低壓綜合需量營業用,826,"30,701","6,998,607 ",,,
111,士林區,9低壓綜合營業用電小計,**,"30,748","7,004,822 ",,,
111,士林區,10低壓綜合用電小計,**,"54,485","10,686,898 ",,,
111,士林區,11低壓裝置電力,114,"1,489","150,448 ",,,
111,士林區,12低壓需量電力,120,"5,620","884,064 ",,,
111,士林區,13低壓電力小計,**,"7,109","1,034,512 ",,,
111,士林區,14高壓電力,138,"96,397","31,227,380 ",,,
111,士林區,15特高壓電力,＊,0,0 ,,,
111,士林區,16高＆特高壓電力小計,**,"96,397","31,227,380 ",,,
111,士林區,17電力小計,**,"103,506","32,261,892 ",,,
111,士林區,18綜合＆電力小計,**,"157,991","42,948,790 ",,,
111,士林區,19電燈＆綜合＆電力小計,**,"177,306","100,214,910 ",,,
111,士林區,20臨時電燈,65,0,"41,200 ",,,
111,士林區,21臨時電力,20,"1,349","260,676 ",,,
111,士林區,22臨時用電小計,**,"1,349","301,876 ",,,
111,士林區,23總計（含臨時用電）,**,"177,306","100,516,786 ",,,
111,士林區,24表燈合計,**,"19,315","57,307,320 ",,,
111,士林區,25綜合＆電力合計,**,"157,991","43,209,466 ",,,
112,北投區,1表燈非營業用,"93,434",908,"14,717,608 ",,,
112,北投區,2表燈營業用,"5,924","8,884","4,998,339 ",,,
112,北投區,3表燈小計,**,"9,792","19,715,947 ",,,
112,北投區,4低壓綜合裝置非營業用,＊,0,0 ,,,
112,北投區,5低壓綜合需量非營業用,616,"20,001","2,972,087 ",,,
112,北投區,6低壓綜合非營業用電小計,**,"20,001","2,972,087 ",,,
112,北投區,7低壓綜合裝置營業用,＊,70,"2,220 ",,,
112,北投區,8低壓綜合需量營業用,428,"21,206","5,193,450 ",,,
